"Plot65"
"Time (sec)","Acceleration26 (meter/sec**2)"
13.3220000000011,1.76847490356993
13.3240000000011,1.76057339437249
13.3260000000011,1.7528640818452
13.3280000000011,1.74513773702954
13.3300000000011,1.73715524094013
13.3320000000011,1.7294184851968
13.3340000000011,1.72179776403145
13.3360000000011,1.71391447488074
13.3380000000011,1.70589638599347
13.3400000000011,1.69809166037304
13.3420000000011,1.69035163802025
13.3440000000011,1.68256297070587
13.3460000000011,1.67477026380342
13.3480000000011,1.66694481576587
13.3500000000011,1.65934754217177
13.3520000000011,1.65104845906727
13.3540000000011,1.64275525794664
13.3560000000011,1.63478401410406
13.3580000000011,1.6271269307112
13.3600000000011,1.61925309511483
13.3620000000011,1.61061547713039
13.3640000000011,1.60311876112246
13.3660000000011,1.59560106407055
13.3680000000011,1.58669041294442
13.3700000000011,1.57851587132072
13.3720000000011,1.57005099285004
13.3740000000011,1.56257274319054
13.3760000000011,1.55366398848895
13.3780000000011,1.54533968531838
13.3800000000011,1.53738689720022
13.3820000000011,1.52886225006096
13.3840000000011,1.52037733762958
13.3860000000011,1.51161004419289
13.3880000000011,1.5028768293651
13.3900000000011,1.4929361948408
13.3920000000011,1.48591432543186
13.3940000000011,1.4758191379924
13.3960000000011,1.46716424336571
13.3980000000011,1.45862351690634
13.4000000000011,1.4491681190172
13.4020000000011,1.44097952506381
13.4040000000011,1.43123303817346
13.4060000000011,1.42210492123891
13.4080000000011,1.41205780507714
13.4100000000011,1.40386142721808
13.4120000000011,1.39292100843952
13.4140000000011,1.38271903645735
13.4160000000011,1.37354048873124
13.4180000000012,1.36260526547316
13.4200000000012,1.35375847463267
13.4220000000012,1.344940639992
13.4240000000012,1.33428115335341
13.4260000000012,1.3249705804184
13.4280000000012,1.31506518339859
13.4300000000012,1.30506905058473
13.4320000000012,1.2960026956856
13.4340000000012,1.28481320002606
13.4360000000012,1.27673233584793
13.4380000000012,1.2659916968624
13.4400000000012,1.25684585701211
13.4420000000012,1.24867100196009
13.4440000000012,1.2389340106738
13.4460000000012,1.23004000479548
13.4480000000012,1.2213646826326
13.4500000000012,1.21278409689914
13.4520000000012,1.20393563066057
13.4540000000012,1.19569742520207
13.4560000000012,1.18710784223185
13.4580000000012,1.1782420932679
13.4600000000012,1.1707192394698
13.4620000000012,1.16276179472313
13.4640000000012,1.1552158415809
13.4660000000012,1.14752990109029
13.4680000000012,1.14029998566183
13.4700000000012,1.13294922882097
13.4720000000012,1.12566066910032
13.4740000000012,1.11833732832557
13.4760000000012,1.11135435416713
13.4780000000012,1.10400436257797
13.4800000000012,1.09662102285341
13.4820000000012,1.09024408977267
13.4840000000012,1.08270037151308
13.4860000000012,1.0754951750022
13.4880000000012,1.0685915471091
13.4900000000012,1.06167619250415
13.4920000000012,1.05515088167085
13.4940000000012,1.04594238112056
13.4960000000012,1.04032673213558
13.4980000000012,1.03158931900008
13.5000000000012,1.02534301517488
13.5020000000012,1.01785718758201
13.5040000000012,1.00910023828497
13.5060000000012,1.00085412873538
13.5080000000012,0.994203591828387
13.5100000000012,0.986368859464429
13.5120000000012,0.978367469536308
13.5140000000012,0.971270723517013
13.5160000000012,0.961301215618217
13.5180000000012,0.952780075477395
13.5200000000012,0.945069030416422
13.5220000000012,0.935498572660381
13.5240000000012,0.927359499491791
13.5260000000012,0.918692560785881
13.5280000000012,0.910117781208
13.5300000000012,0.901389592329043
13.5320000000012,0.893331576020703
13.5340000000012,0.884086156650661
13.5360000000012,0.874429556374892
13.5380000000012,0.865679963503055
13.5400000000012,0.857333982862316
13.5420000000012,0.849008009474
13.5440000000012,0.839380166017902
13.5460000000012,0.82851478715251
13.5480000000012,0.819440706453201
13.5500000000012,0.810715404831752
13.5520000000012,0.80151317810871
13.5540000000012,0.792349019407495
13.5560000000012,0.783301096857901
13.5580000000012,0.773916059138067
13.5600000000012,0.764949568686977
13.5620000000012,0.755517738306696
13.5640000000012,0.746211961413342
13.5660000000012,0.737049620464211
13.5680000000012,0.727587454827753
13.5700000000012,0.718586257247065
13.5720000000012,0.709259172679059
13.5740000000012,0.700072155254519
13.5760000000012,0.690879143714659
13.5780000000012,0.68129466995881
13.5800000000012,0.672287629553739
13.5820000000012,0.663099633157168
13.5840000000012,0.654090368765385
13.5860000000012,0.64489699931796
13.5880000000012,0.635661447240918
13.5900000000012,0.626611066621378
13.5920000000012,0.61757812486958
13.5940000000012,0.608571863467318
13.5960000000012,0.599540738041556
13.5980000000012,0.59026952395193
13.6000000000012,0.581098472878577
